### Countries start here
YEAR: 1931
CREATE: (Country) "ENG"
DEFINE: {FullName:The United Kingdom of Great Britain and Ireland}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Bureaucratic}
.: {Centralization:Hegemony}
.: {Legitimacy:Elective}
.: {Inertia:47.00}
.: {MP:169}
.: {Mobilized:0.2}
.: {Strain:0}
.: {Leadership:Good}
.: {Training:Good}
.: {Artillery:Good}
.: {Tactics:Mixed}
.: {NavalPower:Global}
.: {AirPower:Global}
.: {Infantry1:31}
.: {Infantry2:48}
.: {Infantry3:16}
.: {Armor1:19}
.: {Armor2:16}
.: {Armor3:8}
.: {Destroyers1:50}
.: {Destroyers2:66}
.: {Destroyers3:16}
.: {Cruisers1:38}
.: {Cruisers2:28}
.: {Cruisers3:8}
.: {Battleships1:12}
.: {Battleships2:20}
.: {Fighters1:22}
.: {Fighters2:10}
.: {Bombers1:8}
.: {Bombers2:4}
MIDFAS: {16/75, 26/75, 20/55, 29/45, 4/1, 5/1}
CREATE: (Country) "FRA"
DEFINE: {FullName:The French Social Democratic Republic}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Bureaucratic}
.: {Centralization:Unitary}
.: {Legitimacy:Elective}
.: {Inertia:31.00}
.: {MP:223}
.: {Mobilized:0.1}
.: {Strain:0}
.: {Leadership:Excellent}
.: {Training:Excellent}
.: {Artillery:Excellent}
.: {Tactics:Defensive}
.: {NavalPower:Average}
.: {AirPower:Average}
.: {Infantry1:22}
.: {Infantry2:56}
.: {Infantry3:33}
.: {Armor1:26}
.: {Armor2:24}
.: {Armor3:19}
.: {Destroyers1:22}
.: {Destroyers2:42}
.: {Destroyers3:10}
.: {Cruisers1:10}
.: {Cruisers2:22}
.: {Cruisers3:5}
.: {Battleships1:4}
.: {Battleships2:4}
.: {Fighters1:21}
.: {Fighters2:14}
.: {Bombers1:10}
.: {Bombers2:5}
MIDFAS: {2/20, 14/55, 30/80, 4/1, 5/20, 45/90}
CREATE: (Country) "RUS"
DEFINE: {FullName:The Russian Empire}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Aristocratic}
.: {Centralization:Hegemony}
.: {Legitimacy:Hereditary}
.: {Inertia:74.00}
.: {MP:340}
.: {Mobilized:0.1}
.: {Strain:0}
.: {Leadership:Good}
.: {Training:Average}
.: {Artillery:Poor}
.: {Tactics:Mass}
.: {NavalPower:Weak}
.: {AirPower:Weak}
.: {Infantry1:51}
.: {Infantry2:85}
.: {Infantry3:34}
.: {Armor1:31}
.: {Armor2:27}
.: {Armor3:3}
.: {Destroyers1:24}
.: {Destroyers2:24}
.: {Destroyers3:4}
.: {Cruisers1:22}
.: {Cruisers2:14}
.: {Cruisers3:2}
.: {Battleships1:8}
.: {Battleships2:8}
.: {Fighters1:5}
.: {Bombers1:2}
MIDFAS: {20/90, 30/90, 12/5, 1/20, 15/1, 22/5}
CREATE: (Country) "USA"
DEFINE: {FullName:The United States of America}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Aristocratic}
.: {Centralization:Confederation}
.: {Legitimacy:Elective}
.: {Inertia:40.50}
.: {MP:280}
.: {Mobilized:0.2}
.: {Strain:0}
.: {Leadership:Excellent}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Mass}
.: {NavalPower:Global}
.: {AirPower:Average}
.: {Infantry1:36}
.: {Infantry2:72}
.: {Infantry3:36}
.: {Armor1:32}
.: {Armor2:28}
.: {Armor3:14}
.: {Destroyers1:84}
.: {Destroyers2:112}
.: {Destroyers3:28}
.: {Cruisers1:64}
.: {Cruisers2:48}
.: {Cruisers3:16}
.: {Battleships1:22}
.: {Battleships2:32}
.: {Fighters1:18}
.: {Fighters2:9}
.: {Bombers1:7}
.: {Bombers2:3}
MIDFAS: {0/0, 45/90, 35/45, 5/15, 10/1, 5/1}
CREATE: (Country) "ITA"
DEFINE: {FullName:The Kingdom of Italy}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Aristocratic}
.: {Centralization:Hegemony}
.: {Legitimacy:Elective}
.: {Inertia:32.50}
.: {MP:94}
.: {Mobilized:0.1}
.: {Strain:0}
.: {Leadership:Average}
.: {Training:Average}
.: {Artillery:Average}
.: {Tactics:Combined Arms}
.: {NavalPower:Average}
.: {AirPower:Strong}
.: {Infantry1:9}
.: {Infantry2:23}
.: {Infantry3:14}
.: {Armor1:11}
.: {Armor2:10}
.: {Armor3:8}
.: {Destroyers1:11}
.: {Destroyers2:20}
.: {Destroyers3:6}
.: {Cruisers1:5}
.: {Cruisers2:10}
.: {Cruisers3:3}
.: {Battleships1:2}
.: {Battleships2:6}
.: {Fighters1:14}
.: {Fighters2:9}
.: {Bombers1:6}
.: {Bombers2:3}
MIDFAS: {25/90, 20/85, 35/85, 5/10, 5/10, 10/15}
CREATE: (Country) "AUS"
DEFINE: {FullName:The United Republics of Austria and Bohemia}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Cartels}
.: {Centralization:Coalition}
.: {Legitimacy:Elective}
.: {Inertia:9.50}
.: {MP:18}
.: {Mobilized:0.6}
.: {Strain:0}
.: {Leadership:Excellent}
.: {Training:Poor}
.: {Artillery:Poor}
.: {Tactics:Defensive}
.: {NavalPower:Nonexistent}
.: {AirPower:Weak}
.: {Infantry1:2}
.: {Infantry2:6}
.: {Infantry3:3}
.: {Armor1:2}
.: {Armor2:2}
.: {Armor3:1}
.: {Fighters1:1}
MIDFAS: {20/1, 5/1, 10/55, 15/10, 35/95, 15/25}
CREATE: (Country) "HUN"
DEFINE: {FullName:The Hungarian Empire}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Aristocratic}
.: {Centralization:Hegemony}
.: {Legitimacy:Hereditary}
.: {Inertia:39.00}
.: {MP:17}
.: {Mobilized:0.6}
.: {Strain:0}
.: {Leadership:Poor}
.: {Training:Poor}
.: {Artillery:Poor}
.: {Tactics:Offensive}
.: {NavalPower:Weak}
.: {AirPower:Weak}
.: {Infantry1:2}
.: {Infantry2:5}
.: {Infantry3:2}
.: {Armor1:1}
.: {Armor2:1}
.: {Destroyers2:1}
MIDFAS: {35/85, 20/75, 25/15, 5/10, 10/1, 5/1}
CREATE: (Country) "NET"
DEFINE: {FullName:The Republic of the Netherlands}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Bureaucratic}
.: {Centralization:Unitary}
.: {Legitimacy:Elective}
.: {Inertia:41.00}
.: {MP:24}
.: {Mobilized:0.2}
.: {Strain:0}
.: {Leadership:Good}
.: {Training:Good}
.: {Artillery:Good}
.: {Tactics:Defensive}
.: {NavalPower:Average}
.: {AirPower:Weak}
.: {Infantry1:3}
.: {Infantry2:6}
.: {Infantry3:3}
.: {Armor1:2}
.: {Armor2:1}
.: {Destroyers1:2}
.: {Destroyers2:3}
.: {Cruisers1:2}
.: {Cruisers2:1}
.: {Battleships2:1}
MIDFAS: {5/50, 35/90, 35/90, 3/10, 5/15, 17/20}
CREATE: (Country) "PRR"
DEFINE: {FullName:The People's Republic of the Ruhr}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Military}
.: {Centralization:Unitary}
.: {Legitimacy:Appointed}
.: {Inertia:19.00}
.: {MP:196}
.: {Mobilized:0.2}
.: {Strain:0}
.: {Leadership:Good}
.: {Training:Excellent}
.: {Artillery:Excellent}
.: {Tactics:Offensive}
.: {NavalPower:Weak}
.: {AirPower:Weak}
.: {Infantry1:20}
.: {Infantry2:50}
.: {Infantry3:30}
.: {Armor1:24}
.: {Armor2:22}
.: {Armor3:17}
.: {Destroyers1:12}
.: {Destroyers2:22}
.: {Destroyers3:7}
.: {Cruisers1:6}
.: {Cruisers2:11}
.: {Cruisers3:4}
.: {Battleships1:2}
.: {Battleships2:6}
.: {Fighters1:10}
.: {Fighters2:6}
.: {Bombers1:4}
.: {Bombers2:2}
MIDFAS: {10/20, 30/75, 10/5, 10/50, 5/1, 35/90}
CREATE: (Country) "GFA"
DEFINE: {FullName:The German Federalist Alliance}
.: {Player:NPC}
.: {Ruler:None}
.: {Apparatus:Military}
.: {Centralization:Hegemony}
.: {Legitimacy:Appointed}
.: {Inertia:15.00}
.: {MP:110}
.: {Mobilized:0.2}
.: {Strain:0}
.: {Leadership:Excellent}
.: {Training:Excellent}
.: {Artillery:Excellent}
.: {Tactics:Combined Arms}
.: {NavalPower:Weak}
.: {AirPower:Average}
.: {Infantry1:11}
.: {Infantry2:28}
.: {Infantry3:17}
.: {Armor1:13}
.: {Armor2:12}
.: {Armor3:9}
.: {Destroyers1:6}
.: {Destroyers2:12}
.: {Destroyers3:4}
.: {Cruisers1:3}
.: {Cruisers2:6}
.: {Cruisers3:2}
.: {Battleships1:2}
.: {Battleships2:4}
.: {Fighters1:10}
.: {Fighters2:7}
.: {Bombers1:5}
.: {Bombers2:2}
MIDFAS: {10/65, 35/50, 15/35, 3/5, 2/1, 35/90}
CREATE: (Country) "BWR"
DEFINE: {FullName:The Bavarian Workers' Council Republic}
.: {Player:NPC}
